origin,destination,weight
sdg9_mobuse,sdg11_pipedwat,-0.5412023965193077
sdg9_mobuse,sdg12_nprod,0.537583330978828
sdg9_mobuse,sdg12_explastic,-0.754601207077583
sdg9_lpi,sdg2_wasting,0.5207767604928387
sdg9_lpi,sdg3_lifee,-0.623224935183
sdg9_lpi,sdg5_edat,0.5608704367687064
sdg9_lpi,sdg16_justice,0.6082469130177679
sdg9_articles,sdg5_familypl,0.6090998632090955
sdg9_articles,sdg5_edat,0.533181788931675
sdg9_articles,sdg12_nimport,0.598245553227747
sdg9_articles,sdg15_cpfa,0.5250302434366373
sdg9_rdex,sdg2_stunting,0.6718184544727013
sdg9_rdex,sdg2_wasting,0.6738855533287027
sdg9_rdex,sdg3_u5mort,-0.5007235817625301
sdg11_pm25,sdg1_wpc,0.5997172996595485
sdg11_pm25,sdg3_lifee,-0.5662102594401563
sdg11_pm25,sdg11_transport,0.5182261752493972
sdg11_pm25,sdg12_nprod,-0.8741996854071769
sdg11_pm25,sdg14_cleanwat,0.634461256798508
sdg11_pipedwat,sdg8_unemp,0.7128907061366498
sdg11_pipedwat,sdg1_320pov,0.6594896320137761
sdg11_pipedwat,sdg2_obesity,-0.5443885801653585
sdg11_pipedwat,sdg6_water,-0.6820737071829105
sdg11_pipedwat,sdg6_sanita,-0.7808982506318795
sdg11_pipedwat,sdg9_intuse,-0.649894399704589
sdg11_transport,sdg5_edat,-0.5205770370247345
sdg11_transport,sdg9_articles,-0.5797741451950806
sdg12_nprod,sdg1_wpc,0.528356308444627
sdg12_nprod,sdg5_edat,0.5420257690934178
sdg12_nprod,sdg9_lpi,0.586728573038912
sdg12_nprod,sdg9_articles,0.5057698180089528
sdg12_nprod,sdg12_explastic,-0.5056983454829886
sdg12_nimport,sdg3_neonat,0.7609312650130748
sdg12_nimport,sdg3_u5mort,0.8522142864053861
sdg12_nimport,sdg16_detain,-0.637699248433485
sdg12_explastic,sdg2_snmi,-0.6235623266813254
sdg12_explastic,sdg3_hiv,0.560785532025974
sdg12_explastic,sdg6_sanita,-0.6167832563275337
sdg12_explastic,sdg9_mobuse,-0.702224498763839
sdg12_explastic,sdg12_nprod,-0.5568458778411504
sdg13_co2gcp,sdg5_lfpr,-0.521037154200436
sdg13_co2import,sdg8_accounts,0.5865751020308239
sdg13_co2import,sdg9_intuse,-0.5694062900160023
sdg13_co2import,sdg9_mobuse,-0.5693550198159235
sdg14_cpma,sdg14_discard,0.6302944490692469
sdg14_cleanwat,sdg2_crlyld,0.519411655360425
sdg14_cleanwat,sdg5_parl,-0.6608036612174395
sdg14_cleanwat,sdg9_lpi,-0.7030777133943322
sdg14_cleanwat,sdg9_articles,-0.6175283770402414
sdg14_fishstocks,sdg11_slums,0.5646733348175385
sdg14_fishstocks,sdg2_undernsh,0.564367566879792
sdg14_fishstocks,sdg4_second,0.5949582034157948
sdg14_fishstocks,sdg8_accounts,0.5693948069500465
sdg14_trawl,sdg7_ren,0.5024996834138814
sdg14_trawl,sdg13_co2import,-0.6291479653120953
sdg14_trawl,sdg16_cpi,-0.6021105015546371
sdg14_discard,sdg2_trophic,0.6029037578498296
sdg14_discard,sdg3_vac,0.5294012241292165
sdg14_discard,sdg7_ren,-0.5469233176767393
sdg15_cpta,sdg3_hiv,0.6135004970449544
sdg15_cpfa,sdg3_hiv,0.6399333220329926
sdg15_redlist,sdg6_water,-0.6325247183866863
sdg15_redlist,sdg9_intuse,-0.6340208840678588
sdg15_redlist,sdg11_pipedwat,0.5240763516992551
sdg16_homicides,sdg1_wpc,-0.5453983557820987
sdg16_detain,sdg4_primary,0.5752210831874129
sdg16_detain,sdg7_co2twh,0.547629827922986
sdg16_prs,sdg2_obesity,-0.6499732691641807
sdg16_prs,sdg5_lfpr,0.5321807896364587
sdg16_prs,sdg14_fishstocks,-0.5635848200918903
sdg16_prs,sdg16_cpi,-0.5525846683715979
sdg16_cpi,sdg9_lpi,0.6210589172456027
sdg16_cpi,sdg13_co2import,0.6747899189120329
sdg16_rsf,sdg2_undernsh,0.6877482890204967
sdg16_rsf,sdg5_lfpr,0.5337898447808846
sdg16_rsf,sdg8_accounts,0.5676894784031267
sdg16_rsf,sdg11_pm25,-0.596365123082021
sdg16_rsf,sdg17_govrev,-0.7188235889397155
sdg16_rsf,sdg17_statperf,-0.5779283295548938
sdg16_justice,sdg2_trophic,0.5633911086646192
sdg16_justice,sdg8_accounts,-0.9331970622456777
sdg16_justice,sdg11_pm25,0.5031248810229456
sdg16_justice,sdg17_govrev,0.5362258271739552
sdg17_govex,sdg2_undernsh,-0.562565429728765
sdg17_govex,sdg17_govrev,0.6990372253945717
sdg17_govrev,sdg2_undernsh,-0.6749897957781531
sdg17_govrev,sdg3_lifee,-0.5246395697462777
sdg17_govrev,sdg4_second,-0.5864496178686177
sdg17_govrev,sdg12_nprod,-0.7572647945904263
sdg17_govrev,sdg14_cleanwat,0.5204785445664021
sdg17_statperf,sdg3_fertility,-0.5888528252637568
sdg17_statperf,sdg9_intuse,0.5535724199066338
sdg17_statperf,sdg11_transport,0.546516385693532
sdg17_statperf,sdg14_trawl,-0.5964788313018972
